geo_type,region,transportation_type,alternative_name,sub-region,country,date,count
city,Wichita,walking,NA,Kansas,United States,2020-04-16,95.99
city,Wichita,walking,NA,Kansas,United States,2020-04-17,90
city,Wichita,walking,NA,Kansas,United States,2020-04-18,104.13
city,Wichita,walking,NA,Kansas,United States,2020-04-19,82.44
city,Wichita,walking,NA,Kansas,United States,2020-04-20,104.09
city,Wichita,walking,NA,Kansas,United States,2020-04-21,106.6
city,Wichita,walking,NA,Kansas,United States,2020-04-22,82.21
city,Wichita,walking,NA,Kansas,United States,2020-04-23,114.82
city,Wichita,walking,NA,Kansas,United States,2020-04-24,109.69
city,Wichita,walking,NA,Kansas,United States,2020-04-25,109.8
city,Wichita,walking,NA,Kansas,United States,2020-04-26,90.74
city,Wichita,walking,NA,Kansas,United States,2020-04-27,100.12
city,Wichita,walking,NA,Kansas,United States,2020-04-28,115.44
city,Wichita,walking,NA,Kansas,United States,2020-04-29,112.66
city,Wichita,walking,NA,Kansas,United States,2020-04-30,116.13
city,Wichita,walking,NA,Kansas,United States,2020-05-01,145.43
city,Wichita,walking,NA,Kansas,United States,2020-05-02,128.29
city,Wichita,walking,NA,Kansas,United States,2020-05-03,106.72
city,Wichita,walking,NA,Kansas,United States,2020-05-04,128.56
city,Wichita,walking,NA,Kansas,United States,2020-05-05,137.4
city,Wichita,walking,NA,Kansas,United States,2020-05-06,129.72
city,Wichita,walking,NA,Kansas,United States,2020-05-07,105.21
city,Wichita,walking,NA,Kansas,United States,2020-05-08,151.22
city,Wichita,walking,NA,Kansas,United States,2020-05-09,142.42
city,Wichita,walking,NA,Kansas,United States,2020-05-10,101.2
city,Wichita,walking,NA,Kansas,United States,2020-05-11,NA
city,Wichita,walking,NA,Kansas,United States,2020-05-12,NA
city,Wichita,walking,NA,Kansas,United States,2020-05-13,125.94
city,Wichita,walking,NA,Kansas,United States,2020-05-14,176.34
city,Wichita,walking,NA,Kansas,United States,2020-05-15,172.21
city,Wichita,walking,NA,Kansas,United States,2020-05-16,152.3
city,Wichita,walking,NA,Kansas,United States,2020-05-17,141.14
city,Wichita,walking,NA,Kansas,United States,2020-05-18,163.49
city,Wichita,walking,NA,Kansas,United States,2020-05-19,183.25
city,Wichita,walking,NA,Kansas,United States,2020-05-20,180.01
city,Wichita,walking,NA,Kansas,United States,2020-05-21,160.17
city,Wichita,walking,NA,Kansas,United States,2020-05-22,193.79
city,Wichita,walking,NA,Kansas,United States,2020-05-23,175.38
city,Wichita,walking,NA,Kansas,United States,2020-05-24,143.38
city,Wichita,walking,NA,Kansas,United States,2020-05-25,114.51
city,Wichita,walking,NA,Kansas,United States,2020-05-26,159.48
city,Wichita,walking,NA,Kansas,United States,2020-05-27,184.91
city,Wichita,walking,NA,Kansas,United States,2020-05-28,184.91
city,Wichita,walking,NA,Kansas,United States,2020-05-29,212.04
city,Wichita,walking,NA,Kansas,United States,2020-05-30,215.36
city,Wichita,walking,NA,Kansas,United States,2020-05-31,161.06
